,Region / Nation,Advertising and marketing: Employment 2011-2014,All creative industries: Employment 2011-2014,Architecture: Employment 2011-2014,"Design: product, graphic and fashion design: Employment 2011-2014","Film, TV, video, radio and photography: Employment 2011-2014","IT, software and computer services: Employment 2011-2014","Music, performing and visual arts: Employment 2011-2014",Publishing: Employment 2011-2014,not_creative: Employment 2011-2014,Advertising and marketing: Employment 2015-2016,All creative industries: Employment 2015-2016,Architecture: Employment 2015-2016,"Design: product, graphic and fashion design: Employment 2015-2016","Film, TV, video, radio and photography: Employment 2015-2016","IT, software and computer services: Employment 2015-2016","Music, performing and visual arts: Employment 2015-2016",Publishing: Employment 2015-2016,not_creative: Employment 2015-2016,Advertising and marketing: Change in employment (%),All creative industries: Change in employment (%),Architecture: Change in employment (%),"Design: product, graphic and fashion design: Change in employment (%)","Film, TV, video, radio and photography: Change in employment (%)","IT, software and computer services: Change in employment (%)","Music, performing and visual arts: Change in employment (%)",Publishing: Change in employment (%),not_creative: Change in employment (%),Advertising and marketing: Number of businesses 2011-2014,All creative industries: Number of businesses 2011-2014,Architecture: Number of businesses 2011-2014,"Design: product, graphic and fashion design: Number of businesses 2011-2014","Film, TV, video, radio and photography: Number of businesses 2011-2014","IT, software and computer services: Number of businesses 2011-2014","Music, performing and visual arts: Number of businesses 2011-2014",Publishing: Number of businesses 2011-2014,not_creative: Number of businesses 2011-2014,Advertising and marketing: Number of businesses 2015-2016,All creative industries: Number of businesses 2015-2016,Architecture: Number of businesses 2015-2016,"Design: product, graphic and fashion design: Number of businesses 2015-2016","Film, TV, video, radio and photography: Number of businesses 2015-2016","IT, software and computer services: Number of businesses 2015-2016","Music, performing and visual arts: Number of businesses 2015-2016",Publishing: Number of businesses 2015-2016,not_creative: Number of businesses 2015-2016,Advertising and marketing: Change in businesses (%),All creative industries: Change in businesses (%),Architecture: Change in businesses (%),"Design: product, graphic and fashion design: Change in businesses (%)","Film, TV, video, radio and photography: Change in businesses (%)","IT, software and computer services: Change in businesses (%)","Music, performing and visual arts: Change in businesses (%)",Publishing: Change in businesses (%),not_creative: Change in businesses (%),Advertising and marketing: Change in employment (total),All creative industries: Change in employment (total),Architecture: Change in employment (total),"Design: product, graphic and fashion design: Change in employment (total)","Film, TV, video, radio and photography: Change in employment (total)","IT, software and computer services: Change in employment (total)","Music, performing and visual arts: Change in employment (total)",Publishing: Change in employment (total),not_creative: Change in employment (total),Advertising and marketing: Change in number of businesses (total),All creative industries: Change in number of businesses (total),Architecture: Change in number of businesses (total),"Design: product, graphic and fashion design: Change in number of businesses (total)","Film, TV, video, radio and photography: Change in number of businesses (total)","IT, software and computer services: Change in number of businesses (total)","Music, performing and visual arts: Change in number of businesses (total)",Publishing: Change in number of businesses (total),not_creative: Change in number of businesses (total),Creative GVA 2015-2016 (Million £),Creative GVA 2015-2016 (% of total)
Torquay and Paignton,South West,60.25,828.75,130,48.75,94.5,281.75,143.5,70,48750,75,945,155,70,95,310,145,90,49935,24.48,14.03,19.23,43.59,0.53,10.03,1.05,28.57,2.43,28,338,33,25,38,127,60,28,5451.612903,35,392.5,42.5,30,37.5,155,55,37.5,5795,25,16.12,28.79,20,-1.32,22.05,-8.33,33.93,6.3,14.75,116.25,25,21.25,0.5,28.25,1.5,20,1185,7,54.5,9.5,5,-0.5,28,-5,9.5,343.3870968,25.32,1.74
Trowbridge,South West,222.75,2689.75,170.75,178,121.25,1486.5,267,243.5,89658.33333,205,2975,170,165,145,1780,290,225,95155,-7.97,10.61,-0.44,-7.3,19.59,19.74,8.61,-7.6,6.13,73,934,53,92,68,451,143,54,10613.63636,67.5,1022.5,67.5,95,85,512.5,152.5,45,12860,-7.53,9.48,27.36,3.26,25,13.64,6.64,-16.67,21.16,-17.75,285.25,-0.75,-13,23.75,293.5,23,-18.5,5496.666667,-5.5,88.5,14.5,3,17,61.5,9.5,-9,2246.363636,84.66,3.18
Tunbridge Wells,South East,839.75,5953.25,373,383.75,348,1969,570.75,1469,104442.9825,740,6505,430,420,420,2295,590,1605,107700,-11.88,9.27,15.28,9.45,20.69,16.56,3.37,9.26,3.12,250,2012,132,182,216,813,284,137,17964.28571,255,2272.5,155,187.5,252.5,990,287.5,147.5,19107.5,2,12.95,17.42,3.02,16.9,21.77,1.23,7.66,6.36,-99.75,551.75,57,36.25,72,326,19.25,136,3257.017544,5,260.5,23,5.5,36.5,177,3.5,10.5,1143.214286,313.41,5.92
Turriff and Banff,Scotland,,63.75,12.5,,,34.5,5.25,,7083.333333,,55,,,,,,,7295,,-13.73,,,,,,,2.99,,24,6,,,11,3,,1500,,15,,,,,,,1472.5,,-37.5,,,,,,,-1.83,,-8.75,,,,,,,211.6666667,,-9,,,,,,,-27.5,0.82,0.29
Tywyn and Dolgellau,Wales,11.75,93,6.75,,15,12.25,25.25,19.25,6200,,95,,,,,,,6270,,2.15,,,,,,,1.13,4,45,4,,8,10,12,7,1607.142857,,50,,,,,,,1602.5,,11.11,,,,,,,-0.29,,2,,,,,,,70,,5,,,,,,,-4.642857143,1.68,0.71
Ullapool,Scotland,,46.5,,7,3.5,8,11.75,,2113.636364,,50,,,,,,,2225,,7.53,,,,,,,5.27,,21,,3,4,7,5,,567.5675676,,17.5,,,,,,,540,,-16.67,,,,,,,-4.86,,3.5,,,,,,,111.3636364,,-3.5,,,,,,,-27.56756757,0.59,0.59
Wadebridge,South West,16.5,205.25,16.75,22.5,54,22.5,31.25,41.75,10262.5,,235,,30,70,30,30,,11645,,14.49,,33.33,29.63,33.33,-4,,13.47,9,86,6,10,17,14,20,10,2097.560976,,97.5,,15,22.5,15,17.5,,2137.5,,13.37,,50,32.35,7.14,-12.5,,1.9,,29.75,,7.5,16,7.5,-1.25,,1382.5,,11.5,,5,5.5,1,-2.5,,39.93902439,3.55,1.04
Wakefield and Castleford,Yorkshire and The Humber,131.75,1251.5,130.5,103.75,61.5,553.25,218,52.75,156437.5,150,1585,150,130,70,815,210,65,165530,13.85,26.65,14.94,25.3,13.82,47.31,-3.67,23.22,5.81,44,419,31,46,24,210,51,14,9108.695652,52.5,530,42.5,52.5,27.5,287.5,55,15,10295,19.32,26.49,37.1,14.13,14.58,36.9,7.84,7.14,13.02,18.25,333.5,19.5,26.25,8.5,261.75,-8,12.25,9092.5,8.5,111,11.5,6.5,3.5,77.5,4,1,1186.304348,52.79,1.7
Warrington and Wigan,North West,420.25,5702.75,349.75,290,205.75,3123.25,246,1067.75,300144.7368,510,5120,390,330,255,3255,270,110,318875,21.36,-10.22,11.51,13.79,23.94,4.22,9.76,-89.7,6.24,138,1606,131,136,103,950,112,36,27689.65517,150,1877.5,137.5,137.5,132.5,1157.5,127.5,35,29810,8.7,16.91,4.96,1.1,28.64,21.84,13.84,-2.78,7.66,89.75,-582.75,40.25,40,49.25,131.75,24,-957.75,18730.26316,12,271.5,6.5,1.5,29.5,207.5,15.5,-1,2120.344828,223.64,2.07
Western Isles,Scotland,,,,,,,,,,,190,,,,,,,8765,,,,,,,,,,,,,,,,,,,,52.5,,,,,,,1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,4.66
Weston-super-Mare,South West,120.25,1140.25,145.5,56.75,99.5,535.25,124.5,58.5,54297.61905,115,1245,300,75,105,490,110,50,57080,-4.37,9.19,106.19,32.16,5.53,-8.45,-11.65,-14.53,5.12,40,448,28,36,50,225,51,18,6588.235294,40,522.5,30,45,65,270,55,15,7082.5,0,16.63,7.14,25,30,20,7.84,-16.67,7.5,-5.25,104.75,154.5,18.25,5.5,-45.25,-14.5,-8.5,2782.380952,0,74.5,2,9,15,45,4,-3,494.2647059,27.76,1.82
Whitby,Yorkshire and The Humber,3.75,73.5,7.25,,7.25,38.75,12.25,4,6681.818182,,85,,,,,,,7445,,15.65,,,,,,,11.42,3,32,3,,4,12,7,3,1391.304348,,37.5,,,,,,,1460,,17.19,,,,,,,4.94,,11.5,,,,,,,763.1818182,,5.5,,,,,,,68.69565217,1.49,0.53
Whitehaven,North West,,117.75,15.75,11.25,7.75,41.75,29.75,9.25,19625,,145,,,,,,,22410,,23.14,,,,,,,14.19,,78,12,9,4,33,15,4,2516.129032,,95,,,,,,,2685,,21.79,,,,,,,6.71,,27.25,,,,,,,2785,,17,,,,,,,168.8709677,3.63,0.54
Wick,Scotland,,34.25,,5.75,,6.75,,,2446.428571,,35,,,,,,,2450,,2.19,,,,,,,0.15,,15,,3,,4,,,681.8181818,,15,,,,,,,715,,0,,,,,,,4.87,,0.75,,,,,,,3.571428571,,0,,,,,,,33.18181818,0.12,0.11
Wisbech,East of England,33.25,259,23,10.75,23,125.75,27.5,15.75,19923.07692,,295,,,,,,,20205,,13.9,,,,,,,1.42,11,120,8,8,7,65,14,7,3157.894737,,130,,,,,,,3315,,8.33,,,,,,,4.98,,36,,,,,,,281.9230769,,10,,,,,,,157.1052632,10.19,1.58
Wolverhampton and Walsall,West Midlands,391.5,4137,245,298.75,170.75,2121.75,377.75,531.5,318230.7692,505,4255,305,315,190,2015,450,470,341150,28.99,2.85,24.49,5.44,11.27,-5.03,19.13,-11.57,7.2,118,1167,80,134,73,623,98,41,22882.35294,115,1380,102.5,137.5,92.5,772.5,110,45,25465,-2.54,18.25,28.12,2.61,26.71,24,12.24,9.76,11.29,113.5,118,60,16.25,19.25,-106.75,72.25,-61.5,22919.23077,-3,213,22.5,3.5,19.5,149.5,12,4,2582.647059,197.6,2.19
Worcester and Kidderminster,West Midlands,241,3497.75,174.25,225.25,248.75,1752,358,498.5,134528.8462,250,6370,200,205,320,2100,370,2925,147340,3.73,82.12,14.78,-8.99,28.64,19.86,3.35,486.76,9.52,86,883,63,87,71,434,102,40,13179.10448,95,985,70,90,77.5,505,102.5,42.5,13840,10.47,11.55,11.11,3.45,9.15,16.36,0.49,6.25,5.01,9,2872.25,25.75,-20.25,71.25,348,12,2426.5,12811.15385,9,102,7,3,6.5,71,0.5,2.5,660.8955224,163.09,4.05
Workington,North West,7.75,299.5,37,28.25,94.75,67.5,41.5,22.75,21392.85714,,325,,,,,,,21155,,8.51,,,,,,,-1.11,6,88,12,12,6,32,17,4,3384.615385,,100,,,,,,,3520,,13.64,,,,,,,4,,25.5,,,,,,,-237.8571429,,12,,,,,,,135.3846154,4.36,0.39
