ball,variable,n_ttwas,mean,std,min,median,max
11,pct_urban,83,61.96,25.94,0.0,66.13,98.82
11,median_house_price,83,152745.52,34367.65,78450.0,154000.0,229249.0
12,pct_owned,3,64.07,2.92,61.7,63.18,67.33
12,pct_private_rented,3,16.59,3.39,12.68,18.41,18.67
12,pct_higher_managerial,3,12.93,0.22,12.69,12.97,13.12
12,pct_routine,3,8.95,0.57,8.3,9.27,9.29
12,pct_no_quals,3,18.36,0.79,17.46,18.69,18.94
12,pct_level4_plus,3,31.73,2.94,29.3,30.9,35.0
12,pct_self_employed,3,14.41,0.89,13.43,14.58,15.2
12,pct_econ_inactive,3,26.06,1.25,24.79,26.1,27.28
12,pop_density,3,3.15,2.05,1.17,3.04,5.26
12,log_pop_density,3,1.33,0.53,0.77,1.4,1.83
12,urban_rural_score,3,3.49,0.42,3.23,3.25,3.97
12,pct_urban,3,68.45,26.16,38.25,82.92,84.18
12,median_house_price,3,209916.67,19526.16,191000.0,208750.0,230000.0
13,pct_owned,78,66.99,3.28,57.91,67.63,72.97
13,pct_private_rented,78,14.91,2.52,8.73,14.84,21.73
13,pct_higher_managerial,78,7.92,1.59,5.13,7.4,12.57
13,pct_routine,78,13.54,2.34,8.33,13.54,18.92
13,pct_no_quals,78,26.14,3.46,19.59,26.18,33.7
13,pct_level4_plus,78,22.38,3.58,14.54,22.58,28.47
13,pct_self_employed,78,13.92,3.98,8.66,12.57,28.71
13,pct_econ_inactive,78,31.65,2.59,25.36,32.25,37.47
13,pop_density,78,4.47,4.45,0.19,2.96,19.29
13,log_pop_density,78,1.42,0.73,0.17,1.38,3.01
13,urban_rural_score,78,3.26,0.79,1.13,3.41,4.52
13,pct_urban,78,67.14,23.46,0.0,69.93,98.82
13,median_house_price,78,136740.69,30767.44,78450.0,130687.5,220000.0
14,pct_owned,59,67.74,3.56,57.91,68.1,73.66
14,pct_private_rented,59,15.57,2.38,9.66,15.18,21.73
14,pct_higher_managerial,59,8.66,1.77,5.27,8.68,12.39
14,pct_routine,59,12.54,2.3,8.33,11.92,22.31
14,pct_no_quals,59,24.83,3.55,18.92,24.33,36.67
14,pct_level4_plus,59,23.83,4.01,14.17,24.84,33.07
14,pct_self_employed,59,14.82,3.95,8.38,13.91,29.57
14,pct_econ_inactive,59,31.27,2.91,25.67,30.8,40.08
14,pop_density,59,4.63,4.11,0.33,3.5,16.65
14,log_pop_density,59,1.49,0.69,0.29,1.5,2.87
14,urban_rural_score,59,3.28,0.79,1.15,3.36,4.66
14,pct_urban,59,67.22,25.53,0.0,75.82,98.82
14,median_house_price,59,149917.53,31723.93,84500.0,148749.0,233000.0
15,pct_owned,1,68.38,,68.38,68.38,68.38
15,pct_private_rented,1,17.45,,17.45,17.45,17.45
15,pct_higher_managerial,1,10.81,,10.81,10.81,10.81
15,pct_routine,1,8.85,,8.85,8.85,8.85
15,pct_no_quals,1,20.37,,20.37,20.37,20.37
15,pct_level4_plus,1,26.96,,26.96,26.96,26.96
15,pct_self_employed,1,14.49,,14.49,14.49,14.49
15,pct_econ_inactive,1,29.15,,29.15,29.15,29.15
15,pop_density,1,3.53,,3.53,3.53,3.53
15,log_pop_density,1,1.51,,1.51,1.51,1.51
15,urban_rural_score,1,3.59,,3.59,3.59,3.59
15,pct_urban,1,57.57,,57.57,57.57,57.57
15,median_house_price,1,188326.0,,188326.0,188326.0,188326.0
16,pct_owned,1,71.27,,71.27,71.27,71.27
16,pct_private_rented,1,14.19,,14.19,14.19,14.19
16,pct_higher_managerial,1,16.31,,16.31,16.31,16.31
16,pct_routine,1,6.8,,6.8,6.8,6.8
16,pct_no_quals,1,15.72,,15.72,15.72,15.72
16,pct_level4_plus,1,36.04,,36.04,36.04,36.04
16,pct_self_employed,1,16.11,,16.11,16.11,16.11
16,pct_econ_inactive,1,25.9,,25.9,25.9,25.9
16,pop_density,1,5.27,,5.27,5.27,5.27
16,log_pop_density,1,1.84,,1.84,1.84,1.84
16,urban_rural_score,1,2.9,,2.9,2.9,2.9
16,pct_urban,1,83.16,,83.16,83.16,83.16
16,median_house_price,1,267375.0,,267375.0,267375.0,267375.0
17,pct_owned,7,67.72,4.16,61.7,67.9,72.34
17,pct_private_rented,7,15.89,3.25,12.1,14.93,21.18
17,pct_higher_managerial,7,11.7,1.81,8.45,12.24,13.65
17,pct_routine,7,9.36,0.79,8.4,9.27,10.52
17,pct_no_quals,7,19.94,1.6,17.77,19.73,22.28
17,pct_level4_plus,7,28.81,2.86,26.15,28.67,33.86
17,pct_self_employed,7,16.45,3.16,13.43,15.99,22.97
17,pct_econ_inactive,7,28.16,3.39,24.79,26.87,33.92
17,pop_density,7,3.27,2.57,1.0,2.84,8.03
17,log_pop_density,7,1.31,0.56,0.69,1.35,2.2
17,urban_rural_score,7,3.61,0.46,3.09,3.51,4.46
17,pct_urban,7,59.43,31.57,0.0,63.72,94.23
17,median_house_price,7,211214.14,21478.62,179250.0,222375.0,230000.0
18,pct_owned,12,68.32,2.54,64.08,68.54,72.93
18,pct_private_rented,12,15.51,1.84,11.34,15.29,18.39
18,pct_higher_managerial,12,9.05,1.84,5.9,9.38,12.39
18,pct_routine,12,11.0,1.32,8.22,11.45,12.54
18,pct_no_quals,12,23.19,2.68,18.59,23.44,26.45
18,pct_level4_plus,12,26.48,3.01,22.52,26.12,32.74
18,pct_self_employed,12,19.92,6.61,10.69,19.27,31.64
18,pct_econ_inactive,12,32.81,3.3,27.95,33.03,38.59
18,pop_density,12,2.55,2.99,0.53,1.3,9.31
18,log_pop_density,12,1.04,0.64,0.43,0.83,2.33
18,urban_rural_score,12,3.92,0.53,3.14,3.88,4.66
18,pct_urban,12,40.08,34.58,0.0,43.4,91.08
18,median_house_price,12,189500.0,46961.3,129250.0,178625.0,300000.0
19,pct_owned,3,65.33,3.13,63.18,63.88,68.92
19,pct_private_rented,3,18.7,3.14,15.57,18.67,21.85
19,pct_higher_managerial,3,12.19,4.16,7.7,12.97,15.9
19,pct_routine,3,9.0,0.87,8.03,9.27,9.71
19,pct_no_quals,3,20.68,4.2,17.84,18.69,25.51
19,pct_level4_plus,3,30.05,6.86,22.81,30.9,36.45
19,pct_self_employed,3,16.96,2.11,15.2,16.38,19.3
