LSOA code,March,Dec
E01012534,"81,000","74,000"
E01012535,"83,930","83,030"
E01012536,"92,500","87,475"
E01012537,"77,500","70,000"
E01012538,"148,000","124,995"
E01012539,"118,000","120,500"
E01012540,"164,950","139,000"
E01012541,"145,000","129,500"
E01012542,"123,125","122,125"
E01012543,"105,000","138,520"
E01012544,"113,300","136,350"
E01012545,"125,000","115,000"
E01012546,:,:
E01012547,"147,725","123,500"
E01012548,"137,000","135,000"
E01012549,"140,000","136,500"
E01012550,"125,000","125,000"
E01012551,"137,000","141,500"
E01012552,"114,000","122,500"
E01012553,"172,500","172,500"
E01012554,"165,500","168,000"
E01012555,"140,000","140,000"
E01012556,"151,000","125,000"
E01012557,"175,000","170,000"
E01012558,"181,500","247,750"
E01012559,"210,000","250,000"
E01012560,"239,000","165,250"
E01012561,"104,250","124,000"
E01012562,"235,000","202,000"
E01012563,"195,000","189,000"
E01012564,"129,950","107,000"
E01012565,"221,000","219,498"
E01012566,"209,500","205,000"
E01012567,"217,500","208,500"
E01012568,"155,995","172,000"
E01012569,"164,500","164,975"
E01012570,"162,000","162,000"
E01033299,"88,500","85,000"
E01033300,"99,000","86,750"
E01033302,"89,995","98,250"
E01033303,"69,000","73,500"
E01012571,"69,000","70,000"
E01012572,:,:
E01012573,"80,000","80,000"
E01012574,"84,250","99,975"
E01012575,"102,000",:
E01012576,"75,000","69,500"
E01012577,"78,000","82,000"
E01012578,"78,500","74,000"
E01012579,"69,475","76,000"
E01012580,"83,500","90,750"
E01012581,"137,000","125,000"
E01012582,"234,750","195,000"
E01012583,"162,375","154,500"
E01012584,"200,000","172,550"
E01012585,"135,000","121,250"
E01012586,"120,000","127,500"
E01012587,"110,500","125,000"
E01012588,"80,000","80,500"
E01012589,"75,000","53,000"
E01012590,"70,000","70,000"
E01012591,"75,000","87,000"
E01012592,"153,000","148,500"
E01012593,"82,000","95,000"
E01012594,"87,750","80,000"
E01012595,"66,250","55,000"
E01012596,"65,500","59,000"
E01012597,"119,323","130,000"
E01012598,"158,000","165,000"
E01012599,"85,000","79,000"
E01012600,"55,000","52,750"
E01012601,:,:
E01012602,"115,500","102,500"
E01012603,"82,500","74,088"
E01012604,"92,000","97,000"
E01012605,"99,800","117,498"
E01012606,"73,750","79,500"
E01012607,"85,250","101,500"
E01012608,"82,000","90,000"
E01012609,"155,000","141,000"
E01012610,"147,750","159,600"
E01012611,"142,000","122,000"
E01012612,"158,750","126,000"
E01012613,"147,500","142,500"
E01012614,"140,000","125,000"
E01012615,"71,000","71,000"
E01012616,"125,000","125,000"
E01012617,"75,000","83,750"
E01012618,"124,250","92,500"
E01012619,:,:
E01012620,"130,000","113,286"
E01012621,"66,000","93,000"
E01012622,"61,000","62,000"
E01012623,"81,500","75,000"
E01012624,"68,500","55,000"
E01012625,"70,000","65,000"
E01012628,"160,000","237,950"
E01012629,"79,750","82,000"
E01012630,"72,500","79,000"
E01012631,"125,250",:
E01012632,"109,000","97,500"
E01012633,"102,596","124,500"
E01012634,"112,000","129,000"
E01012635,"111,750","124,500"
E01012636,"124,999","121,000"
E01012637,"59,250",:
E01012638,"70,000",:
E01012639,"92,953","65,000"
E01012640,"75,000","75,000"
E01012641,"70,000","70,750"
E01012642,"90,000","90,000"
E01012643,"70,000","65,000"
E01012644,"90,000","95,000"
E01012645,"125,000","124,250"
E01012646,"60,000","53,000"
E01012647,"110,950","99,950"
